表十三 2024年11月份全国进口商品贸易同比指数（HS2分类）,表十三 2024年11月份全国进口商品贸易同比指数（HS2分类）,表十三 2024年11月份全国进口商品贸易同比指数（HS2分类）,表十三 2024年11月份全国进口商品贸易同比指数（HS2分类）,表十三 2024年11月份全国进口商品贸易同比指数（HS2分类）
27,第27章矿物燃料、矿物油及其蒸馏产品；沥青物质；矿物蜡,85.9,109.4,94.0
6类,第六类 化学工业及其相关工业的产品,102.4,89.6,91.7
28,第28章无机化学品；贵金属、稀土金属、放射性元素及其同位素的有机及无机化合物,95.9,56.1,53.8
29,第29章有机化学品,98.2,100.9,99.1
30,第30章药品,106.0,91.6,97.1
31,第31章肥料,91.1,90.5,82.5
32,第32章鞣料浸膏及染料浸膏；鞣酸及其衍生物；染料、颜料及其他着色料；油漆及清漆；油灰及其他类似胶粘剂；墨水、油墨,107.3,90.1,96.7
33,第33章精油及香膏；芳香料制品及化妆盥洗品,108.1,85.0,91.8
34,第34章肥皂、有机表面活性剂、洗涤剂、润滑剂、人造蜡、调制蜡、光洁剂、蜡烛及类似品、塑型用膏、“牙科用蜡”及牙科用熟石膏制剂,98.8,102.4,101.1
35,第35章蛋白类物质；改性淀粉；胶；酶,97.1,104.3,101.3
36,第36章炸药；烟火制品；引火合金；易燃材料制品,119.6,79.2,94.8
37,第37章照相及电影用品,110.0,101.3,111.4
38,第38章杂项化学产品,107.9,94.8,102.3
7类,第七类 塑料及其制品；橡胶及其制品,105.1,94.5,99.3
39,第39章塑料及其制品,99.8,92.9,92.7
40,第40章橡胶及其制品,123.9,99.7,123.5
8类,第八类 革、毛皮及制品；箱包；肠线制品,96.5,93.2,90.0
41,第41章生皮（毛皮除外）及皮革,93.6,93.9,87.9
42,第42章皮革制品；鞍具及挽具；旅行用品、手提包及类似容器；动物肠线（蚕胶丝除外）制品,94.9,92.5,87.8
43,第43章毛皮、人造毛皮及其制品,115.9,94.6,109.7
9类,第九类 木及制品；木炭；软木；编结品,102.7,91.6,94.1
44,第44章木及木制品；木炭,102.8,91.6,94.2
45,第45章软木及软木制品,80.0,100.9,80.7
46,第46章稻草、秸秆、针茅或其他编结材料制品；篮筐及柳条编结品,82.9,123.5,102.4
10类,第十类 木浆等；废纸；纸、纸板及其制品,106.7,89.3,95.3
47,第47章木浆及其他纤维状纤维素浆；回收（废碎）纸及纸板,109.7,89.2,97.9
48,第48章纸及纸板；纸浆、纸或纸板制品,103.5,81.2,84.0
49,第49章书籍、报纸、印刷图画及其他印刷品；手稿、打字稿及设计图纸,85.6,123.6,105.8
11类,第十一类 纺织原料及纺织制品,97.1,79.2,77.0
50,第50章蚕丝,107.6,65.8,70.8
51,第51章羊毛、动物细毛或粗毛；马毛纱线及其机织物,100.0,88.2,88.2
52,第52章棉花,92.9,52.5,48.8
53,第53章其他植物纺织纤维；纸纱线及其机织物,111.6,72.2,80.6
54,第54章化学纤维长丝；化学纤维纺织材料制扁条及类似品,102.0,87.3,89.0
55,第55章化学纤维短纤,101.6,93.2,94.8
56,第56章絮胎、毡呢及无纺织物；特种纱线；线、绳、索、缆及其制品,103.7,98.7,102.4
57,第57章地毯及纺织材料的其他铺地制品,101.5,97.9,99.3
58,第58章特种机织物；簇绒织物；花边；装饰毯；装饰带；刺绣品,99.9,84.9,84.8
59,第59章浸渍、涂布、包覆或层压的纺织物；工业用纺织制品,103.6,88.7,91.8
60,第60章针织物及钩编织物,101.3,81.8,82.8
61,第61章针织或钩编的服装及衣着附件,99.0,94.7,93.8
62,第62章非针织或非钩编的服装及衣着附件,94.7,106.8,101.2
63,第63章其他纺织制成品；成套物品；旧衣着及旧纺织品；碎织物,81.8,122.5,100.2
12类,第十二类 鞋帽伞等；羽毛品；人造花；人发品,107.0,81.8,87.5
64,第64章鞋靴、护腿和类似品及其零件,104.2,81.5,84.9
65,第65章帽类及其零件,145.9,104.4,152.4
66,第66章雨伞、阳伞、手杖、鞭子、马鞭及其零件,100.2,122.2,122.5
67,第67章已加工羽毛、羽绒及其制品；人造花；人发制品,119.5,77.0,92.1
13类,第十三类 矿物材料制品；陶瓷品；玻璃及制品,109.7,87.8,96.3
68,第68章石料、石膏、水泥、石棉、云母及类似材料的制品,95.7,103.5,99.1
69,第69章陶瓷产品,96.9,94.5,91.5
70,第70章玻璃及其制品,117.0,82.5,96.5
14类,第十四类 珠宝、贵金属及制品；仿首饰；硬币,128.4,80.9,103.8
71,第71章天然或养殖珍珠、宝石或半宝石、贵金属、包贵金属及其制品；仿首饰；硬币,128.4,80.9,103.8
15类,第十五类 贱金属及其制品,107.6,97.7,105.2
72,第72章钢铁,90.8,108.4,98.4
73,第73章钢铁制品,109.4,92.4,101.0
74,第74章铜及其制品,114.2,96.5,110.2
75,第75章镍及其制品,120.9,95.3,115.2
76,第76章铝及其制品,110.0,85.4,94.0
78,第78章铅及其制品,108.1,165.7,179.1
79,第79章锌及其制品,117.9,70.9,83.6
80,第80章锡及其制品,121.7,68.8,83.8
81,第81章其他贱金属、金属陶瓷及其制品,91.6,137.8,126.2
82,第82章贱金属工具、器具、利口器、餐匙、餐叉及其零件,100.5,92.9,93.3
83,第83章贱金属杂项制品,104.8,86.0,90.1
16类,第十六类 机电、音像设备及其零件、附件,93.8,106.1,99.6
84,第84章核反应堆、锅炉、机器、机械器具及零件,106.4,100.7,107.2
85,第85章电机、电气设备及其零件；录音机及放声机、电视图像、声音的录制和重放设备及其零件、附件,90.2,107.5,96.9
17类,第十七类 车辆、航空器、船舶及运输设备,103.9,80.0,83.0
86,第86章铁道及电车道机车、车辆及其零件；铁道及电车道轨道固定装置及其零件；附件；各种机械（包括电动机械）交通信号设备,100.2,182.2,182.6
87,第87章车辆及其零件、附件，但铁道及电车道车辆除外,102.7,76.6,78.7
88,第88章航空器、航天器及其零件,114.7,109.5,125.5
89,第89章船舶及浮动结构体,64.3,26.1,16.8
18类,第十八类 光学、医疗等仪器；钟表；乐器,106.0,87.8,93.1
90,第90章光学、照相、电影、计量、检验、医疗或外科用仪器及设备、精密仪器及设备；上述物品的零件、附件,105.3,90.3,95.1
91,第91章钟表及其零件,121.5,51.5,62.6
92,第92章乐器及其零件、附件,102.0,61.9,63.2
19类,第十九类 武器、弹药及其零件、附件,126.6,162.3,205.5
93,第93章武器、弹药及其零件、附件,126.6,162.3,205.5
20类,第二十类 杂项制品,91.4,93.1,85.0
94,第94章家具；寝具、褥垫、弹簧床垫、软坐垫及类似的填充制品；未列名灯具及照明装置；发光标志、发光铭牌及类似品；活动房屋,92.1,79.7,73.4
95,第95章玩具、游戏品、运动用品及其零件、附件,92.3,106.9,98.7
96,第96章杂项制品,88.2,93.8,82.7
21类,第二十一类 艺术品、收藏品及古物,61.9,74.0,45.8
97,第97章艺术品、收藏品及古物,61.9,74.0,45.8
22类,第二十二类 特殊交易品及未分类商品,102.8,89.0,91.4
98,第98章特殊交易品及未分类商品,102.8,89.0,91.4
