表一 2024年12月份全国出口商品贸易同比指数（HS2分类）,表一 2024年12月份全国出口商品贸易同比指数（HS2分类）,表一 2024年12月份全国出口商品贸易同比指数（HS2分类）,表一 2024年12月份全国出口商品贸易同比指数（HS2分类）,表一 2024年12月份全国出口商品贸易同比指数（HS2分类）
49,第49章书籍、报纸、印刷图画及其他印刷品；手稿、打字稿及设计图纸,89.8,107.2,96.3
11类,第十一类 纺织原料及纺织制品,93.1,120.2,111.9
50,第50章蚕丝,98.9,118.0,116.7
51,第51章羊毛、动物细毛或粗毛；马毛纱线及其机织物,104.7,113.4,118.7
52,第52章棉花,95.2,119.3,113.6
53,第53章其他植物纺织纤维；纸纱线及其机织物,117.4,106.7,125.3
54,第54章化学纤维长丝；化学纤维纺织材料制扁条及类似品,92.9,129.2,120.0
55,第55章化学纤维短纤,95.9,131.0,125.6
56,第56章絮胎、毡呢及无纺织物；特种纱线；线、绳、索、缆及其制品,89.2,125.6,112.1
57,第57章地毯及纺织材料的其他铺地制品,92.3,125.1,115.4
58,第58章特种机织物；簇绒织物；花边；装饰毯；装饰带；刺绣品,87.3,128.5,112.2
59,第59章浸渍、涂布、包覆或层压的纺织物；工业用纺织制品,96.1,123.9,119.1
60,第60章针织物及钩编织物,95.5,131.0,125.0
61,第61章针织或钩编的服装及衣着附件,92.9,116.8,108.5
62,第62章非针织或非钩编的服装及衣着附件,90.9,116.0,105.4
63,第63章其他纺织制成品；成套物品；旧衣着及旧纺织品；碎织物,93.8,118.0,110.7
12类,第十二类 鞋帽伞等；羽毛品；人造花；人发品,91.1,111.3,101.4
64,第64章鞋靴、护腿和类似品及其零件,92.9,108.6,101.0
65,第65章帽类及其零件,92.0,123.6,113.7
66,第66章雨伞、阳伞、手杖、鞭子、马鞭及其零件,89.8,121.5,109.1
67,第67章已加工羽毛、羽绒及其制品；人造花；人发制品,82.4,115.7,95.3
13类,第十三类 矿物材料制品；陶瓷品；玻璃及制品,84.9,111.6,94.8
68,第68章石料、石膏、水泥、石棉、云母及类似材料的制品,84.5,111.7,94.4
69,第69章陶瓷产品,80.7,110.3,89.0
70,第70章玻璃及其制品,90.0,113.0,101.8
14类,第十四类 珠宝、贵金属及制品；仿首饰；硬币,109.5,113.4,124.2
71,第71章天然或养殖珍珠、宝石或半宝石、贵金属、包贵金属及其制品；仿首饰；硬币,109.5,113.4,124.2
15类,第十五类 贱金属及其制品,91.3,125.4,114.6
72,第72章钢铁,86.8,131.6,114.2
73,第73章钢铁制品,89.9,129.0,116.1
74,第74章铜及其制品,107.4,118.7,127.5
75,第75章镍及其制品,92.0,200.3,184.3
76,第76章铝及其制品,101.6,109.8,111.6
78,第78章铅及其制品,102.0,12.9,13.2
79,第79章锌及其制品,115.3,120.6,139.0
80,第80章锡及其制品,137.8,213.4,294.1
81,第81章其他贱金属、金属陶瓷及其制品,96.4,130.7,126.0
82,第82章贱金属工具、器具、利口器、餐匙、餐叉及其零件,87.1,123.2,107.3
83,第83章贱金属杂项制品,89.9,121.4,109.1
16类,第十六类 机电、音像设备及其零件、附件,98.2,112.0,109.9
84,第84章核反应堆、锅炉、机器、机械器具及零件,102.7,116.1,119.2
85,第85章电机、电气设备及其零件；录音机及放声机、电视图像、声音的录制和重放设备及其零件、附件,95.7,109.4,104.7
17类,第十七类 车辆、航空器、船舶及运输设备,94.4,138.5,130.8
86,第86章铁道及电车道机车、车辆及其零件；铁道及电车道轨道固定装置及其零件；附件；各种机械（包括电动机械）交通信号设备,100.7,191.5,192.7
87,第87章车辆及其零件、附件，但铁道及电车道车辆除外,93.4,125.9,117.5
88,第88章航空器、航天器及其零件,78.9,201.7,159.2
89,第89章船舶及浮动结构体,104.9,163.2,171.2
18类,第十八类 光学、医疗等仪器；钟表；乐器,97.3,112.8,109.7
90,第90章光学、照相、电影、计量、检验、医疗或外科用仪器及设备、精密仪器及设备；上述物品的零件、附件,97.7,113.3,110.7
91,第91章钟表及其零件,91.5,109.3,99.9
92,第92章乐器及其零件、附件,97.5,106.6,103.9
19类,第十九类 武器、弹药及其零件、附件,92.6,129.1,119.5
93,第93章武器、弹药及其零件、附件,92.6,129.1,119.5
20类,第二十类 杂项制品,90.0,115.7,104.1
94,第94章家具；寝具、褥垫、弹簧床垫、软坐垫及类似的填充制品；未列名灯具及照明装置；发光标志、发光铭牌及类似品；活动房屋,88.7,118.1,104.8
95,第95章玩具、游戏品、运动用品及其零件、附件,93.0,110.2,102.4
96,第96章杂项制品,88.9,118.1,105.0
21类,第二十一类 艺术品、收藏品及古物,83.1,89.0,74.0
97,第97章艺术品、收藏品及古物,83.1,89.0,74.0
22类,第二十二类 特殊交易品及未分类商品,100.9,126.0,127.2
98,第98章特殊交易品及未分类商品,129.3,97.7,126.4
99,第99章跨境电商B2B简化申报商品,74.3,324.2,240.8
