表一 2025年4月份全国出口商品贸易同比指数（HS2分类）,表一 2025年4月份全国出口商品贸易同比指数（HS2分类）,表一 2025年4月份全国出口商品贸易同比指数（HS2分类）,表一 2025年4月份全国出口商品贸易同比指数（HS2分类）,表一 2025年4月份全国出口商品贸易同比指数（HS2分类）
27,第27章矿物燃料、矿物油及其蒸馏产品；沥青物质；矿物蜡,91.7,105.2,96.5
6类,第六类 化学工业及其相关工业的产品,96.1,107.3,103.2
28,第28章无机化学品；贵金属、稀土金属、放射性元素及其同位素的有机及无机化合物,94.3,107.2,101.0
29,第29章有机化学品,97.5,105.6,102.9
30,第30章药品,86.4,119.5,103.3
31,第31章肥料,104.2,86.1,89.7
32,第32章鞣料浸膏及染料浸膏；鞣酸及其衍生物；染料、颜料及其他着色料；油漆及清漆；油灰及其他类似胶粘剂；墨水、油墨,93.8,103.8,97.3
33,第33章精油及香膏；芳香料制品及化妆盥洗品,96.2,119.5,115.0
34,第34章肥皂、有机表面活性剂、洗涤剂、润滑剂、人造蜡、调制蜡、光洁剂、蜡烛及类似品、塑型用膏、“牙科用蜡”及牙科用熟石膏制剂,101.4,115.4,117.0
35,第35章蛋白类物质；改性淀粉；胶；酶,96.1,118.1,113.5
36,第36章炸药；烟火制品；引火合金；易燃材料制品,91.1,115.0,104.9
37,第37章照相及电影用品,99.6,101.3,100.8
38,第38章杂项化学产品,95.2,108.1,102.9
7类,第七类 塑料及其制品；橡胶及其制品,92.8,111.3,103.3
39,第39章塑料及其制品,91.3,112.1,102.4
40,第40章橡胶及其制品,98.8,108.0,106.7
8类,第八类 革、毛皮及制品；箱包；肠线制品,86.0,108.3,93.2
41,第41章生皮（毛皮除外）及皮革,96.6,104.7,101.1
42,第42章皮革制品；鞍具及挽具；旅行用品、手提包及类似容器；动物肠线（蚕胶丝除外）制品,85.4,108.1,92.3
43,第43章毛皮、人造毛皮及其制品,113.5,128.2,145.4
9类,第九类 木及制品；木炭；软木；编结品,93.6,108.8,101.9
44,第44章木及木制品；木炭,93.8,111.1,104.2
45,第45章软木及软木制品,98.9,106.7,105.6
46,第46章稻草、秸秆、针茅或其他编结材料制品；篮筐及柳条编结品,91.4,84.5,77.3
10类,第十类 木浆等；废纸；纸、纸板及其制品,88.1,112.7,99.3
47,第47章木浆及其他纤维状纤维素浆；回收（废碎）纸及纸板,104.7,118.0,123.6
48,第48章纸及纸板；纸浆、纸或纸板制品,87.9,112.4,98.8
49,第49章书籍、报纸、印刷图画及其他印刷品；手稿、打字稿及设计图纸,89.3,114.1,101.9
11类,第十一类 纺织原料及纺织制品,92.0,111.5,102.6
50,第50章蚕丝,100.7,105.6,106.3
51,第51章羊毛、动物细毛或粗毛；马毛纱线及其机织物,100.6,117.0,117.8
52,第52章棉花,95.0,108.1,102.7
53,第53章其他植物纺织纤维；纸纱线及其机织物,88.3,106.9,94.4
54,第54章化学纤维长丝；化学纤维纺织材料制扁条及类似品,91.7,113.4,103.9
55,第55章化学纤维短纤,95.5,110.5,105.4
56,第56章絮胎、毡呢及无纺织物；特种纱线；线、绳、索、缆及其制品,95.1,112.0,106.5
57,第57章地毯及纺织材料的其他铺地制品,93.3,107.9,100.7
58,第58章特种机织物；簇绒织物；花边；装饰毯；装饰带；刺绣品,89.9,119.6,107.5
59,第59章浸渍、涂布、包覆或层压的纺织物；工业用纺织制品,97.5,112.9,110.1
60,第60章针织物及钩编织物,94.4,118.0,111.4
61,第61章针织或钩编的服装及衣着附件,89.9,112.9,101.5
62,第62章非针织或非钩编的服装及衣着附件,88.8,111.8,99.3
63,第63章其他纺织制成品；成套物品；旧衣着及旧纺织品；碎织物,95.9,101.3,97.2
12类,第十二类 鞋帽伞等；羽毛品；人造花；人发品,91.8,108.9,99.9
64,第64章鞋靴、护腿和类似品及其零件,93.4,110.6,103.2
65,第65章帽类及其零件,84.3,117.4,98.9
66,第66章雨伞、阳伞、手杖、鞭子、马鞭及其零件,98.9,98.2,97.1
67,第67章已加工羽毛、羽绒及其制品；人造花；人发制品,86.8,101.6,88.2
13类,第十三类 矿物材料制品；陶瓷品；玻璃及制品,96.2,107.0,102.9
68,第68章石料、石膏、水泥、石棉、云母及类似材料的制品,88.7,108.6,96.3
69,第69章陶瓷产品,101.0,113.6,114.8
70,第70章玻璃及其制品,95.5,100.9,96.4
14类,第十四类 珠宝、贵金属及制品；仿首饰；硬币,113.9,114.7,130.6
71,第71章天然或养殖珍珠、宝石或半宝石、贵金属、包贵金属及其制品；仿首饰；硬币,113.9,114.7,130.6
15类,第十五类 贱金属及其制品,93.5,118.0,110.3
72,第72章钢铁,88.7,116.8,103.6
73,第73章钢铁制品,92.2,118.4,109.2
74,第74章铜及其制品,106.2,159.4,169.2
75,第75章镍及其制品,91.8,212.6,195.3
76,第76章铝及其制品,104.7,105.1,110.0
78,第78章铅及其制品,115.5,106.1,122.6
79,第79章锌及其制品,115.0,157.0,180.5
80,第80章锡及其制品,114.1,94.6,108.0
81,第81章其他贱金属、金属陶瓷及其制品,101.7,117.0,119.0
82,第82章贱金属工具、器具、利口器、餐匙、餐叉及其零件,89.9,114.3,102.8
83,第83章贱金属杂项制品,90.8,116.4,105.6
16类,第十六类 机电、音像设备及其零件、附件,97.9,114.3,112.0
84,第84章核反应堆、锅炉、机器、机械器具及零件,96.7,114.8,111.0
85,第85章电机、电气设备及其零件；录音机及放声机、电视图像、声音的录制和重放设备及其零件、附件,98.7,114.0,112.6
17类,第十七类 车辆、航空器、船舶及运输设备,97.4,116.8,113.7
86,第86章铁道及电车道机车、车辆及其零件；铁道及电车道轨道固定装置及其零件；附件；各种机械（包括电动机械）交通信号设备,99.0,108.3,107.2
87,第87章车辆及其零件、附件，但铁道及电车道车辆除外,94.4,115.5,109.1
88,第88章航空器、航天器及其零件,101.9,143.9,146.6
89,第89章船舶及浮动结构体,109.6,118.4,129.7
18类,第十八类 光学、医疗等仪器；钟表；乐器,103.1,107.5,110.9
90,第90章光学、照相、电影、计量、检验、医疗或外科用仪器及设备、精密仪器及设备；上述物品的零件、附件,103.8,108.3,112.4
91,第91章钟表及其零件,97.0,102.9,99.8
92,第92章乐器及其零件、附件,96.0,90.3,86.7
19类,第十九类 武器、弹药及其零件、附件,136.1,85.3,116.1
93,第93章武器、弹药及其零件、附件,136.1,85.3,116.1
20类,第二十类 杂项制品,91.2,109.2,99.6
94,第94章家具；寝具、褥垫、弹簧床垫、软坐垫及类似的填充制品；未列名灯具及照明装置；发光标志、发光铭牌及类似品；活动房屋,91.7,105.6,96.9
95,第95章玩具、游戏品、运动用品及其零件、附件,91.1,114.2,104.0
96,第96章杂项制品,89.5,112.6,100.9
21类,第二十一类 艺术品、收藏品及古物,151.7,213.8,324.4
97,第97章艺术品、收藏品及古物,151.7,213.8,324.4
22类,第二十二类 特殊交易品及未分类商品,124.2,117.4,145.8
98,第98章特殊交易品及未分类商品,124.7,116.4,145.1
99,第99章跨境电商B2B简化申报商品,93.1,213.6,198.8
