表十三 2025年4月份全国进口商品贸易同比指数（HS2分类）,表十三 2025年4月份全国进口商品贸易同比指数（HS2分类）,表十三 2025年4月份全国进口商品贸易同比指数（HS2分类）,表十三 2025年4月份全国进口商品贸易同比指数（HS2分类）,表十三 2025年4月份全国进口商品贸易同比指数（HS2分类）
45,第45章软木及软木制品,87.3,73.1,63.8
46,第46章稻草、秸秆、针茅或其他编结材料制品；篮筐及柳条编结品,68.7,130.5,89.7
10类,第十类 木浆等；废纸；纸、纸板及其制品,98.1,92.7,90.9
47,第47章木浆及其他纤维状纤维素浆；回收（废碎）纸及纸板,98.8,90.4,89.4
48,第48章纸及纸板；纸浆、纸或纸板制品,96.0,87.9,84.4
49,第49章书籍、报纸、印刷图画及其他印刷品；手稿、打字稿及设计图纸,94.0,144.8,136.1
11类,第十一类 纺织原料及纺织制品,95.6,74.7,71.4
50,第50章蚕丝,101.0,81.1,81.9
51,第51章羊毛、动物细毛或粗毛；马毛纱线及其机织物,98.2,86.4,84.8
52,第52章棉花,96.2,42.4,40.8
53,第53章其他植物纺织纤维；纸纱线及其机织物,84.2,70.6,59.5
54,第54章化学纤维长丝；化学纤维纺织材料制扁条及类似品,99.7,85.4,85.1
55,第55章化学纤维短纤,101.6,104.5,106.2
56,第56章絮胎、毡呢及无纺织物；特种纱线；线、绳、索、缆及其制品,102.0,98.6,100.6
57,第57章地毯及纺织材料的其他铺地制品,77.2,117.2,90.5
58,第58章特种机织物；簇绒织物；花边；装饰毯；装饰带；刺绣品,106.4,83.4,88.7
59,第59章浸渍、涂布、包覆或层压的纺织物；工业用纺织制品,100.9,95.9,96.8
60,第60章针织物及钩编织物,97.3,89.0,86.6
61,第61章针织或钩编的服装及衣着附件,94.1,98.4,92.6
62,第62章非针织或非钩编的服装及衣着附件,88.5,104.0,92.1
63,第63章其他纺织制成品；成套物品；旧衣着及旧纺织品；碎织物,103.3,102.1,105.5
12类,第十二类 鞋帽伞等；羽毛品；人造花；人发品,111.0,87.9,97.5
64,第64章鞋靴、护腿和类似品及其零件,108.9,90.4,98.4
65,第65章帽类及其零件,106.0,90.6,96.1
66,第66章雨伞、阳伞、手杖、鞭子、马鞭及其零件,99.3,99.2,98.5
67,第67章已加工羽毛、羽绒及其制品；人造花；人发制品,118.9,79.8,94.9
13类,第十三类 矿物材料制品；陶瓷品；玻璃及制品,99.1,94.1,93.3
68,第68章石料、石膏、水泥、石棉、云母及类似材料的制品,88.0,114.0,100.3
69,第69章陶瓷产品,124.4,87.3,108.6
70,第70章玻璃及其制品,98.5,90.0,88.6
14类,第十四类 珠宝、贵金属及制品；仿首饰；硬币,132.4,94.5,125.1
71,第71章天然或养殖珍珠、宝石或半宝石、贵金属、包贵金属及其制品；仿首饰；硬币,132.4,94.5,125.1
15类,第十五类 贱金属及其制品,104.9,95.9,100.6
72,第72章钢铁,98.3,90.5,89.0
73,第73章钢铁制品,109.4,87.0,95.2
74,第74章铜及其制品,106.1,97.6,103.6
75,第75章镍及其制品,107.0,101.6,108.7
76,第76章铝及其制品,108.5,97.8,106.1
78,第78章铅及其制品,110.0,301.6,331.9
79,第79章锌及其制品,106.5,65.8,70.0
80,第80章锡及其制品,110.5,170.6,188.5
81,第81章其他贱金属、金属陶瓷及其制品,108.4,107.4,116.4
82,第82章贱金属工具、器具、利口器、餐匙、餐叉及其零件,98.5,95.2,93.7
83,第83章贱金属杂项制品,103.1,85.2,87.8
16类,第十六类 机电、音像设备及其零件、附件,104.7,105.2,110.2
84,第84章核反应堆、锅炉、机器、机械器具及零件,108.2,106.1,114.7
85,第85章电机、电气设备及其零件；录音机及放声机、电视图像、声音的录制和重放设备及其零件、附件,103.5,104.8,108.4
17类,第十七类 车辆、航空器、船舶及运输设备,99.7,77.4,77.2
86,第86章铁道及电车道机车、车辆及其零件；铁道及电车道轨道固定装置及其零件；附件；各种机械（包括电动机械）交通信号设备,89.1,126.1,112.4
87,第87章车辆及其零件、附件，但铁道及电车道车辆除外,98.0,73.7,72.3
88,第88章航空器、航天器及其零件,107.5,85.9,92.3
89,第89章船舶及浮动结构体,122.0,451.1,550.5
18类,第十八类 光学、医疗等仪器；钟表；乐器,105.1,98.2,103.2
90,第90章光学、照相、电影、计量、检验、医疗或外科用仪器及设备、精密仪器及设备；上述物品的零件、附件,105.6,98.0,103.4
91,第91章钟表及其零件,94.2,107.3,101.1
92,第92章乐器及其零件、附件,96.6,69.2,66.8
19类,第十九类 武器、弹药及其零件、附件,158.6,414.7,657.7
93,第93章武器、弹药及其零件、附件,158.6,414.7,657.7
20类,第二十类 杂项制品,94.6,96.0,90.8
94,第94章家具；寝具、褥垫、弹簧床垫、软坐垫及类似的填充制品；未列名灯具及照明装置；发光标志、发光铭牌及类似品；活动房屋,99.7,83.4,83.1
95,第95章玩具、游戏品、运动用品及其零件、附件,90.2,109.3,98.6
96,第96章杂项制品,94.9,93.5,88.7
21类,第二十一类 艺术品、收藏品及古物,153.7,75.4,115.8
97,第97章艺术品、收藏品及古物,153.7,75.4,115.8
22类,第二十二类 特殊交易品及未分类商品,101.3,97.6,98.9
98,第98章特殊交易品及未分类商品,101.3,97.6,98.9
