表一 2024年10月份全国出口商品贸易同比指数（HS2分类）,表一 2024年10月份全国出口商品贸易同比指数（HS2分类）,表一 2024年10月份全国出口商品贸易同比指数（HS2分类）,表一 2024年10月份全国出口商品贸易同比指数（HS2分类）,表一 2024年10月份全国出口商品贸易同比指数（HS2分类）
16,第16章肉、鱼、甲壳动物、软体动物及其他水生无脊椎动物、昆虫的制品,96.5,113.6,109.6
17,第17章糖及糖食,94.9,120.7,114.6
18,第18章可可及可可制品,117.1,156.1,182.8
19,第19章谷物、粮食粉、淀粉或乳的制品；糕饼点心,96.2,122.3,117.6
20,第20章蔬菜、水果、坚果或植物其他部分的制品,87.9,125.7,110.5
21,第21章杂项食品,95.2,122.4,116.6
22,第22章饮料、酒及醋,98.6,98.7,97.3
23,第23章食品工业的残渣及废料；配制的动物饲料,85.1,144.0,122.5
24,第24章烟草、烟草及烟草代用品的制品；非经燃烧吸用的产品，不论是否含有尼古丁；其他供人体摄入尼古丁的含尼古丁的产品,98.5,99.3,97.8
5类,第五类 矿产品,87.1,86.7,75.5
25,第25章盐；硫磺；泥土及石料；石膏料、石灰及水泥,93.5,88.2,82.5
26,第26章矿砂、矿渣及矿灰,87.9,118.6,104.3
27,第27章矿物燃料、矿物油及其蒸馏产品；沥青物质；矿物蜡,86.7,85.1,73.7
6类,第六类 化学工业及其相关工业的产品,92.1,113.8,104.8
28,第28章无机化学品；贵金属、稀土金属、放射性元素及其同位素的有机及无机化合物,89.3,99.4,88.7
29,第29章有机化学品,91.3,120.0,109.6
30,第30章药品,98.0,124.8,122.3
31,第31章肥料,103.8,88.0,91.3
32,第32章鞣料浸膏及染料浸膏；鞣酸及其衍生物；染料、颜料及其他着色料；油漆及清漆；油灰及其他类似胶粘剂；墨水、油墨,92.1,130.5,120.3
33,第33章精油及香膏；芳香料制品及化妆盥洗品,90.5,133.5,120.9
34,第34章肥皂、有机表面活性剂、洗涤剂、润滑剂、人造蜡、调制蜡、光洁剂、蜡烛及类似品、塑型用膏、“牙科用蜡”及牙科用熟石膏制剂,97.5,125.3,122.2
35,第35章蛋白类物质；改性淀粉；胶；酶,101.8,117.8,119.9
36,第36章炸药；烟火制品；引火合金；易燃材料制品,97.0,97.2,94.3
37,第37章照相及电影用品,98.6,108.8,107.3
38,第38章杂项化学产品,88.2,106.8,94.2
7类,第七类 塑料及其制品；橡胶及其制品,90.9,124.8,113.4
39,第39章塑料及其制品,89.0,126.7,112.8
40,第40章橡胶及其制品,98.5,117.8,116.0
8类,第八类 革、毛皮及制品；箱包；肠线制品,84.5,117.8,99.6
41,第41章生皮（毛皮除外）及皮革,95.5,128.0,122.2
42,第42章皮革制品；鞍具及挽具；旅行用品、手提包及类似容器；动物肠线（蚕胶丝除外）制品,84.3,118.9,100.2
43,第43章毛皮、人造毛皮及其制品,82.6,83.6,69.0
9类,第九类 木及制品；木炭；软木；编结品,88.9,127.6,113.4
44,第44章木及木制品；木炭,89.7,128.7,115.4
45,第45章软木及软木制品,109.4,86.6,94.8
46,第46章稻草、秸秆、针茅或其他编结材料制品；篮筐及柳条编结品,79.4,117.5,93.2
10类,第十类 木浆等；废纸；纸、纸板及其制品,89.9,121.5,109.2
47,第47章木浆及其他纤维状纤维素浆；回收（废碎）纸及纸板,94.5,97.4,92.0
48,第48章纸及纸板；纸浆、纸或纸板制品,89.3,122.2,109.1
49,第49章书籍、报纸、印刷图画及其他印刷品；手稿、打字稿及设计图纸,94.5,117.9,111.5
11类,第十一类 纺织原料及纺织制品,91.0,121.4,110.5
50,第50章蚕丝,108.0,95.0,102.6
51,第51章羊毛、动物细毛或粗毛；马毛纱线及其机织物,97.4,94.3,91.9
52,第52章棉花,93.6,125.6,117.6
53,第53章其他植物纺织纤维；纸纱线及其机织物,126.5,95.9,121.3
54,第54章化学纤维长丝；化学纤维纺织材料制扁条及类似品,93.8,124.6,116.8
55,第55章化学纤维短纤,95.1,123.1,117.1
56,第56章絮胎、毡呢及无纺织物；特种纱线；线、绳、索、缆及其制品,91.4,125.0,114.3
57,第57章地毯及纺织材料的其他铺地制品,94.2,130.7,123.1
58,第58章特种机织物；簇绒织物；花边；装饰毯；装饰带；刺绣品,86.9,129.4,112.4
59,第59章浸渍、涂布、包覆或层压的纺织物；工业用纺织制品,94.8,119.4,113.2
60,第60章针织物及钩编织物,94.3,122.3,115.4
61,第61章针织或钩编的服装及衣着附件,90.3,123.4,111.4
62,第62章非针织或非钩编的服装及衣着附件,86.1,117.3,100.9
63,第63章其他纺织制成品；成套物品；旧衣着及旧纺织品；碎织物,91.2,120.9,110.3
12类,第十二类 鞋帽伞等；羽毛品；人造花；人发品,88.2,115.2,101.7
64,第64章鞋靴、护腿和类似品及其零件,87.2,113.4,98.9
65,第65章帽类及其零件,93.4,122.4,114.4
66,第66章雨伞、阳伞、手杖、鞭子、马鞭及其零件,90.0,116.0,104.3
67,第67章已加工羽毛、羽绒及其制品；人造花；人发制品,89.7,119.8,107.5
13类,第十三类 矿物材料制品；陶瓷品；玻璃及制品,84.1,114.3,96.2
68,第68章石料、石膏、水泥、石棉、云母及类似材料的制品,88.7,109.2,96.9
69,第69章陶瓷产品,75.6,113.1,85.5
70,第70章玻璃及其制品,90.5,118.3,107.0
14类,第十四类 珠宝、贵金属及制品；仿首饰；硬币,106.6,112.3,119.7
71,第71章天然或养殖珍珠、宝石或半宝石、贵金属、包贵金属及其制品；仿首饰；硬币,106.6,112.3,119.7
15类,第十五类 贱金属及其制品,90.8,133.1,120.8
72,第72章钢铁,88.5,147.6,130.7
73,第73章钢铁制品,89.0,129.2,114.9
74,第74章铜及其制品,107.3,118.4,127.1
75,第75章镍及其制品,82.7,286.4,237.0
76,第76章铝及其制品,98.1,127.2,124.7
78,第78章铅及其制品,96.2,15.8,15.2
79,第79章锌及其制品,99.9,97.8,97.7
80,第80章锡及其制品,122.4,137.7,168.6
81,第81章其他贱金属、金属陶瓷及其制品,92.6,121.5,112.5
82,第82章贱金属工具、器具、利口器、餐匙、餐叉及其零件,90.5,128.0,115.9
83,第83章贱金属杂项制品,87.1,126.0,109.8
16类,第十六类 机电、音像设备及其零件、附件,97.3,115.8,112.7
84,第84章核反应堆、锅炉、机器、机械器具及零件,100.5,121.1,121.7
85,第85章电机、电气设备及其零件；录音机及放声机、电视图像、声音的录制和重放设备及其零件、附件,95.7,113.0,108.2
17类,第十七类 车辆、航空器、船舶及运输设备,91.7,124.2,113.9
86,第86章铁道及电车道机车、车辆及其零件；铁道及电车道轨道固定装置及其零件；附件；各种机械（包括电动机械）交通信号设备,93.7,244.6,229.2
87,第87章车辆及其零件、附件，但铁道及电车道车辆除外,91.0,118.9,108.2
88,第88章航空器、航天器及其零件,88.4,118.1,104.4
89,第89章船舶及浮动结构体,97.2,118.6,115.3
18类,第十八类 光学、医疗等仪器；钟表；乐器,97.8,116.5,114.0
90,第90章光学、照相、电影、计量、检验、医疗或外科用仪器及设备、精密仪器及设备；上述物品的零件、附件,98.4,117.4,115.4
91,第91章钟表及其零件,84.0,113.8,95.6
92,第92章乐器及其零件、附件,109.9,100.0,109.9
19类,第十九类 武器、弹药及其零件、附件,108.4,89.7,97.2
93,第93章武器、弹药及其零件、附件,108.4,89.7,97.2
20类,第二十类 杂项制品,87.9,119.1,104.7
94,第94章家具；寝具、褥垫、弹簧床垫、软坐垫及类似的填充制品；未列名灯具及照明装置；发光标志、发光铭牌及类似品；活动房屋,84.9,121.9,103.5
95,第95章玩具、游戏品、运动用品及其零件、附件,90.9,114.4,104.0
96,第96章杂项制品,92.1,122.3,112.6
21类,第二十一类 艺术品、收藏品及古物,91.4,24.3,22.3
97,第97章艺术品、收藏品及古物,91.4,24.3,22.3
22类,第二十二类 特殊交易品及未分类商品,147.9,88.0,130.1
98,第98章特殊交易品及未分类商品,149.6,88.2,131.9
99,第99章跨境电商B2B简化申报商品,76.7,89.3,68.5
