表一 2025年3月份全国出口商品贸易同比指数（HS2分类）,表一 2025年3月份全国出口商品贸易同比指数（HS2分类）,表一 2025年3月份全国出口商品贸易同比指数（HS2分类）,表一 2025年3月份全国出口商品贸易同比指数（HS2分类）,表一 2025年3月份全国出口商品贸易同比指数（HS2分类）
67,第67章已加工羽毛、羽绒及其制品；人造花；人发制品,82.8,127.1,105.2
13类,第十三类 矿物材料制品；陶瓷品；玻璃及制品,90.7,116.9,106.1
68,第68章石料、石膏、水泥、石棉、云母及类似材料的制品,87.5,117.5,102.8
69,第69章陶瓷产品,89.3,123.1,109.9
70,第70章玻璃及其制品,93.6,111.6,104.4
14类,第十四类 珠宝、贵金属及制品；仿首饰；硬币,116.0,135.2,156.8
71,第71章天然或养殖珍珠、宝石或半宝石、贵金属、包贵金属及其制品；仿首饰；硬币,116.0,135.2,156.8
15类,第十五类 贱金属及其制品,91.3,122.4,111.8
72,第72章钢铁,85.6,111.0,95.0
73,第73章钢铁制品,90.3,129.9,117.3
74,第74章铜及其制品,109.0,155.8,169.8
75,第75章镍及其制品,93.3,167.6,156.3
76,第76章铝及其制品,104.9,110.0,115.4
78,第78章铅及其制品,113.7,81.7,92.8
79,第79章锌及其制品,103.5,121.4,125.7
80,第80章锡及其制品,119.4,119.5,142.7
81,第81章其他贱金属、金属陶瓷及其制品,92.9,94.4,87.7
82,第82章贱金属工具、器具、利口器、餐匙、餐叉及其零件,85.6,127.3,109.0
83,第83章贱金属杂项制品,89.7,132.5,118.8
16类,第十六类 机电、音像设备及其零件、附件,96.9,118.2,114.6
84,第84章核反应堆、锅炉、机器、机械器具及零件,98.8,117.0,115.5
85,第85章电机、电气设备及其零件；录音机及放声机、电视图像、声音的录制和重放设备及其零件、附件,95.8,118.9,114.0
17类,第十七类 车辆、航空器、船舶及运输设备,96.4,116.8,112.6
86,第86章铁道及电车道机车、车辆及其零件；铁道及电车道轨道固定装置及其零件；附件；各种机械（包括电动机械）交通信号设备,97.5,144.6,141.0
87,第87章车辆及其零件、附件，但铁道及电车道车辆除外,94.0,117.7,110.7
88,第88章航空器、航天器及其零件,74.8,103.2,77.1
89,第89章船舶及浮动结构体,116.0,104.9,121.8
18类,第十八类 光学、医疗等仪器；钟表；乐器,94.7,117.0,110.9
90,第90章光学、照相、电影、计量、检验、医疗或外科用仪器及设备、精密仪器及设备；上述物品的零件、附件,95.3,117.9,112.3
91,第91章钟表及其零件,88.3,115.5,102.0
92,第92章乐器及其零件、附件,90.8,93.8,85.2
19类,第十九类 武器、弹药及其零件、附件,119.8,104.7,125.5
93,第93章武器、弹药及其零件、附件,119.8,104.7,125.5
20类,第二十类 杂项制品,90.9,129.7,118.0
94,第94章家具；寝具、褥垫、弹簧床垫、软坐垫及类似的填充制品；未列名灯具及照明装置；发光标志、发光铭牌及类似品；活动房屋,92.5,123.7,114.4
95,第95章玩具、游戏品、运动用品及其零件、附件,90.8,140.9,127.9
96,第96章杂项制品,84.6,128.6,108.8
21类,第二十一类 艺术品、收藏品及古物,113.4,54.2,61.5
97,第97章艺术品、收藏品及古物,113.4,54.2,61.5
22类,第二十二类 特殊交易品及未分类商品,151.0,106.2,160.4
98,第98章特殊交易品及未分类商品,152.0,104.3,158.5
99,第99章跨境电商B2B简化申报商品,95.9,411.7,394.7
