表一 2024年11月份全国出口商品贸易同比指数（HS2分类）,表一 2024年11月份全国出口商品贸易同比指数（HS2分类）,表一 2024年11月份全国出口商品贸易同比指数（HS2分类）,表一 2024年11月份全国出口商品贸易同比指数（HS2分类）,表一 2024年11月份全国出口商品贸易同比指数（HS2分类）
49,第49章书籍、报纸、印刷图画及其他印刷品；手稿、打字稿及设计图纸,93.2,114.9,107.1
11类,第十一类 纺织原料及纺织制品,93.7,113.1,106.0
50,第50章蚕丝,101.5,87.9,89.2
51,第51章羊毛、动物细毛或粗毛；马毛纱线及其机织物,102.5,82.3,84.4
52,第52章棉花,95.0,123.2,117.0
53,第53章其他植物纺织纤维；纸纱线及其机织物,126.6,93.9,118.8
54,第54章化学纤维长丝；化学纤维纺织材料制扁条及类似品,93.3,115.9,108.1
55,第55章化学纤维短纤,97.1,117.4,113.9
56,第56章絮胎、毡呢及无纺织物；特种纱线；线、绳、索、缆及其制品,94.4,113.8,107.4
57,第57章地毯及纺织材料的其他铺地制品,94.4,116.1,109.6
58,第58章特种机织物；簇绒织物；花边；装饰毯；装饰带；刺绣品,92.3,118.4,109.3
59,第59章浸渍、涂布、包覆或层压的纺织物；工业用纺织制品,97.6,112.8,110.0
60,第60章针织物及钩编织物,94.9,115.3,109.4
61,第61章针织或钩编的服装及衣着附件,94.1,112.9,106.3
62,第62章非针织或非钩编的服装及衣着附件,90.7,110.6,100.3
63,第63章其他纺织制成品；成套物品；旧衣着及旧纺织品；碎织物,92.2,112.4,103.7
12类,第十二类 鞋帽伞等；羽毛品；人造花；人发品,92.0,107.4,98.8
64,第64章鞋靴、护腿和类似品及其零件,93.0,105.7,98.3
65,第65章帽类及其零件,86.2,124.8,107.6
66,第66章雨伞、阳伞、手杖、鞭子、马鞭及其零件,90.4,109.4,98.9
67,第67章已加工羽毛、羽绒及其制品；人造花；人发制品,90.6,106.6,96.6
13类,第十三类 矿物材料制品；陶瓷品；玻璃及制品,85.5,104.6,89.5
68,第68章石料、石膏、水泥、石棉、云母及类似材料的制品,84.1,107.3,90.2
69,第69章陶瓷产品,78.5,100.3,78.7
70,第70章玻璃及其制品,93.4,108.2,101.1
14类,第十四类 珠宝、贵金属及制品；仿首饰；硬币,108.5,106.7,115.7
71,第71章天然或养殖珍珠、宝石或半宝石、贵金属、包贵金属及其制品；仿首饰；硬币,108.5,106.7,115.7
15类,第十五类 贱金属及其制品,92.0,118.8,109.3
72,第72章钢铁,87.0,122.7,106.8
73,第73章钢铁制品,89.8,116.3,104.4
74,第74章铜及其制品,108.8,124.7,135.7
75,第75章镍及其制品,83.0,178.3,148.0
76,第76章铝及其制品,100.8,124.0,125.0
78,第78章铅及其制品,101.6,26.7,27.2
79,第79章锌及其制品,109.6,110.3,120.9
80,第80章锡及其制品,125.6,135.5,170.1
81,第81章其他贱金属、金属陶瓷及其制品,95.9,107.5,103.1
82,第82章贱金属工具、器具、利口器、餐匙、餐叉及其零件,91.8,116.6,107.1
83,第83章贱金属杂项制品,92.1,113.3,104.3
16类,第十六类 机电、音像设备及其零件、附件,97.7,110.6,108.1
84,第84章核反应堆、锅炉、机器、机械器具及零件,104.9,109.1,114.5
85,第85章电机、电气设备及其零件；录音机及放声机、电视图像、声音的录制和重放设备及其零件、附件,94.1,111.2,104.7
17类,第十七类 车辆、航空器、船舶及运输设备,93.0,112.9,105.0
86,第86章铁道及电车道机车、车辆及其零件；铁道及电车道轨道固定装置及其零件；附件；各种机械（包括电动机械）交通信号设备,95.7,208.0,199.0
87,第87章车辆及其零件、附件，但铁道及电车道车辆除外,90.5,109.8,99.4
88,第88章航空器、航天器及其零件,80.5,94.1,75.7
89,第89章船舶及浮动结构体,109.8,101.3,111.2
18类,第十八类 光学、医疗等仪器；钟表；乐器,99.3,106.4,105.6
90,第90章光学、照相、电影、计量、检验、医疗或外科用仪器及设备、精密仪器及设备；上述物品的零件、附件,99.4,106.6,106.0
91,第91章钟表及其零件,97.4,105.3,102.5
92,第92章乐器及其零件、附件,100.5,99.6,100.1
19类,第十九类 武器、弹药及其零件、附件,90.0,150.2,135.1
93,第93章武器、弹药及其零件、附件,90.0,150.2,135.1
20类,第二十类 杂项制品,88.8,114.2,101.5
94,第94章家具；寝具、褥垫、弹簧床垫、软坐垫及类似的填充制品；未列名灯具及照明装置；发光标志、发光铭牌及类似品；活动房屋,87.7,111.2,97.6
95,第95章玩具、游戏品、运动用品及其零件、附件,88.8,120.1,106.6
96,第96章杂项制品,94.2,113.3,106.7
21类,第二十一类 艺术品、收藏品及古物,120.6,27.1,32.6
97,第97章艺术品、收藏品及古物,120.6,27.1,32.6
22类,第二十二类 特殊交易品及未分类商品,91.8,128.4,117.9
98,第98章特殊交易品及未分类商品,126.6,93.2,118.0
99,第99章跨境电商B2B简化申报商品,70.6,157.1,110.8
