表一 2023年11月份全国出口商品贸易同比指数（HS2分类）,表一 2023年11月份全国出口商品贸易同比指数（HS2分类）,表一 2023年11月份全国出口商品贸易同比指数（HS2分类）,表一 2023年11月份全国出口商品贸易同比指数（HS2分类）,表一 2023年11月份全国出口商品贸易同比指数（HS2分类）
40,第40章橡胶及其制品,93.9,131.5,123.5
8类,第八类 革、毛皮及制品；箱包；肠线制品,86.3,112.9,97.4
41,第41章生皮（毛皮除外）及皮革,93.6,111.1,104.0
42,第42章皮革制品；鞍具及挽具；旅行用品、手提包及类似容器；动物肠线（蚕胶丝除外）制品,85.9,116.1,99.7
43,第43章毛皮、人造毛皮及其制品,90.9,73.0,66.4
9类,第九类 木及制品；木炭；软木；编结品,88.4,114.1,100.9
44,第44章木及木制品；木炭,88.1,115.0,101.3
45,第45章软木及软木制品,84.9,251.5,213.5
46,第46章稻草、秸秆、针茅或其他编结材料制品；篮筐及柳条编结品,92.5,102.6,94.9
10类,第十类 木浆等；废纸；纸、纸板及其制品,80.3,117.7,94.5
47,第47章木浆及其他纤维状纤维素浆；回收（废碎）纸及纸板,78.0,153.6,119.8
48,第48章纸及纸板；纸浆、纸或纸板制品,79.5,117.3,93.2
49,第49章书籍、报纸、印刷图画及其他印刷品；手稿、打字稿及设计图纸,87.2,119.3,104.0
11类,第十一类 纺织原料及纺织制品,92.2,108.4,99.9
50,第50章蚕丝,103.5,88.0,91.1
51,第51章羊毛、动物细毛或粗毛；马毛纱线及其机织物,93.8,76.2,71.5
52,第52章棉花,94.3,94.5,89.1
53,第53章其他植物纺织纤维；纸纱线及其机织物,100.7,123.1,123.9
54,第54章化学纤维长丝；化学纤维纺织材料制扁条及类似品,95.9,105.5,101.1
55,第55章化学纤维短纤,95.5,109.1,104.2
56,第56章絮胎、毡呢及无纺织物；特种纱线；线、绳、索、缆及其制品,86.4,115.5,99.8
57,第57章地毯及纺织材料的其他铺地制品,83.3,129.7,108.1
58,第58章特种机织物；簇绒织物；花边；装饰毯；装饰带；刺绣品,91.2,107.0,97.6
59,第59章浸渍、涂布、包覆或层压的纺织物；工业用纺织制品,94.2,106.6,100.5
60,第60章针织物及钩编织物,93.5,115.2,107.6
61,第61章针织或钩编的服装及衣着附件,90.9,109.3,99.3
62,第62章非针织或非钩编的服装及衣着附件,91.9,107.1,98.4
63,第63章其他纺织制成品；成套物品；旧衣着及旧纺织品；碎织物,90.9,110.2,100.3
12类,第十二类 鞋帽伞等；羽毛品；人造花；人发品,84.6,102.2,86.4
64,第64章鞋靴、护腿和类似品及其零件,84.8,99.1,84.0
65,第65章帽类及其零件,84.2,99.1,83.4
66,第66章雨伞、阳伞、手杖、鞭子、马鞭及其零件,88.9,95.0,84.5
67,第67章已加工羽毛、羽绒及其制品；人造花；人发制品,82.4,123.5,101.8
13类,第十三类 矿物材料制品；陶瓷品；玻璃及制品,78.6,110.5,86.9
68,第68章石料、石膏、水泥、石棉、云母及类似材料的制品,77.8,96.9,75.4
69,第69章陶瓷产品,74.5,113.4,84.5
70,第70章玻璃及其制品,84.8,115.4,97.9
14类,第十四类 珠宝、贵金属及制品；仿首饰；硬币,86.1,104.2,89.7
71,第71章天然或养殖珍珠、宝石或半宝石、贵金属、包贵金属及其制品；仿首饰；硬币,86.1,104.2,89.7
15类,第十五类 贱金属及其制品,84.1,116.3,97.8
72,第72章钢铁,79.3,127.3,101.0
73,第73章钢铁制品,80.0,113.3,90.6
74,第74章铜及其制品,99.2,117.7,116.8
75,第75章镍及其制品,86.2,260.4,224.6
76,第76章铝及其制品,92.2,111.8,103.0
78,第78章铅及其制品,80.3,362.3,290.8
79,第79章锌及其制品,83.5,84.6,70.6
80,第80章锡及其制品,132.4,104.4,138.2
81,第81章其他贱金属、金属陶瓷及其制品,89.4,125.2,112.0
82,第82章贱金属工具、器具、利口器、餐匙、餐叉及其零件,92.4,108.4,100.2
83,第83章贱金属杂项制品,84.9,113.3,96.2
16类,第十六类 机电、音像设备及其零件、附件,94.8,109.4,103.7
84,第84章核反应堆、锅炉、机器、机械器具及零件,89.0,110.5,98.4
85,第85章电机、电气设备及其零件；录音机及放声机、电视图像、声音的录制和重放设备及其零件、附件,98.0,108.8,106.7
17类,第十七类 车辆、航空器、船舶及运输设备,94.3,128.3,121.0
86,第86章铁道及电车道机车、车辆及其零件；铁道及电车道轨道固定装置及其零件；附件；各种机械（包括电动机械）交通信号设备,87.5,111.4,97.4
87,第87章车辆及其零件、附件，但铁道及电车道车辆除外,94.7,123.6,117.0
88,第88章航空器、航天器及其零件,110.4,133.2,147.0
89,第89章船舶及浮动结构体,90.9,169.2,153.8
18类,第十八类 光学、医疗等仪器；钟表；乐器,97.3,102.5,99.8
90,第90章光学、照相、电影、计量、检验、医疗或外科用仪器及设备、精密仪器及设备；上述物品的零件、附件,98.1,101.2,99.3
91,第91章钟表及其零件,90.8,114.3,103.8
92,第92章乐器及其零件、附件,89.6,118.4,106.0
19类,第十九类 武器、弹药及其零件、附件,109.2,61.7,67.4
93,第93章武器、弹药及其零件、附件,109.2,61.7,67.4
20类,第二十类 杂项制品,85.4,114.1,97.5
94,第94章家具；寝具、褥垫、弹簧床垫、软坐垫及类似的填充制品；未列名灯具及照明装置；发光标志、发光铭牌及类似品；活动房屋,84.9,125.7,106.7
95,第95章玩具、游戏品、运动用品及其零件、附件,84.9,97.9,83.1
96,第96章杂项制品,89.6,112.6,101.0
21类,第二十一类 艺术品、收藏品及古物,156.5,135.0,211.2
97,第97章艺术品、收藏品及古物,156.5,135.0,211.2
98,第98章特殊交易品及未分类商品,107.7,121.3,130.6
