表一 2023年9月份全国出口商品贸易同比指数（HS2分类）,表一 2023年9月份全国出口商品贸易同比指数（HS2分类）,表一 2023年9月份全国出口商品贸易同比指数（HS2分类）,表一 2023年9月份全国出口商品贸易同比指数（HS2分类）,表一 2023年9月份全国出口商品贸易同比指数（HS2分类）
46,第46章稻草、秸秆、针茅或其他编结材料制品；篮筐及柳条编结品,108.2,97.9,105.9
10类,第十类 木浆等；废纸；纸、纸板及其制品,83.1,116.4,96.7
47,第47章木浆及其他纤维状纤维素浆；回收（废碎）纸及纸板,68.3,58.6,40.0
48,第48章纸及纸板；纸浆、纸或纸板制品,82.4,116.7,96.1
49,第49章书籍、报纸、印刷图画及其他印刷品；手稿、打字稿及设计图纸,90.1,122.6,110.4
11类,第十一类 纺织原料及纺织制品,93.9,106.6,100.1
50,第50章蚕丝,110.6,85.4,94.4
51,第51章羊毛、动物细毛或粗毛；马毛纱线及其机织物,96.8,94.2,91.1
52,第52章棉花,94.6,94.8,89.6
53,第53章其他植物纺织纤维；纸纱线及其机织物,107.5,92.7,99.7
54,第54章化学纤维长丝；化学纤维纺织材料制扁条及类似品,96.9,112.5,109.0
55,第55章化学纤维短纤,93.8,105.1,98.6
56,第56章絮胎、毡呢及无纺织物；特种纱线；线、绳、索、缆及其制品,90.8,116.7,106.0
57,第57章地毯及纺织材料的其他铺地制品,87.1,125.6,109.5
58,第58章特种机织物；簇绒织物；花边；装饰毯；装饰带；刺绣品,92.8,109.9,102.0
59,第59章浸渍、涂布、包覆或层压的纺织物；工业用纺织制品,95.2,102.9,98.0
60,第60章针织物及钩编织物,92.4,113.4,104.8
61,第61章针织或钩编的服装及衣着附件,95.3,107.9,102.9
62,第62章非针织或非钩编的服装及衣着附件,91.7,101.0,92.6
63,第63章其他纺织制成品；成套物品；旧衣着及旧纺织品；碎织物,93.4,110.7,103.3
12类,第十二类 鞋帽伞等；羽毛品；人造花；人发品,84.9,103.8,88.1
64,第64章鞋靴、护腿和类似品及其零件,85.9,103.6,89.0
65,第65章帽类及其零件,84.2,102.1,86.0
66,第66章雨伞、阳伞、手杖、鞭子、马鞭及其零件,91.5,97.6,89.3
67,第67章已加工羽毛、羽绒及其制品；人造花；人发制品,79.1,107.3,84.8
13类,第十三类 矿物材料制品；陶瓷品；玻璃及制品,79.3,112.7,89.3
68,第68章石料、石膏、水泥、石棉、云母及类似材料的制品,79.1,105.4,83.4
69,第69章陶瓷产品,74.7,109.6,81.9
70,第70章玻璃及其制品,85.3,119.9,102.3
14类,第十四类 珠宝、贵金属及制品；仿首饰；硬币,86.8,112.9,98.0
71,第71章天然或养殖珍珠、宝石或半宝石、贵金属、包贵金属及其制品；仿首饰；硬币,86.8,112.9,98.0
15类,第十五类 贱金属及其制品,85.0,115.1,97.8
72,第72章钢铁,77.8,146.3,113.8
73,第73章钢铁制品,80.6,108.1,87.1
74,第74章铜及其制品,102.7,114.6,117.7
75,第75章镍及其制品,96.7,160.0,154.8
76,第76章铝及其制品,91.6,101.7,93.2
78,第78章铅及其制品,102.8,1701.2,1749.2
79,第79章锌及其制品,80.0,35.5,28.4
80,第80章锡及其制品,113.2,63.6,72.0
81,第81章其他贱金属、金属陶瓷及其制品,93.6,112.2,105.1
82,第82章贱金属工具、器具、利口器、餐匙、餐叉及其零件,95.9,108.5,104.1
83,第83章贱金属杂项制品,88.7,110.1,97.6
16类,第十六类 机电、音像设备及其零件、附件,94.7,104.9,99.3
84,第84章核反应堆、锅炉、机器、机械器具及零件,92.2,108.6,100.1
85,第85章电机、电气设备及其零件；录音机及放声机、电视图像、声音的录制和重放设备及其零件、附件,96.0,103.1,98.9
17类,第十七类 车辆、航空器、船舶及运输设备,100.5,112.6,113.2
86,第86章铁道及电车道机车、车辆及其零件；铁道及电车道轨道固定装置及其零件；附件；各种机械（包括电动机械）交通信号设备,91.1,50.5,46.0
87,第87章车辆及其零件、附件，但铁道及电车道车辆除外,101.6,127.5,129.6
88,第88章航空器、航天器及其零件,122.3,159.9,195.5
89,第89章船舶及浮动结构体,96.6,81.3,78.5
18类,第十八类 光学、医疗等仪器；钟表；乐器,98.5,107.2,105.6
90,第90章光学、照相、电影、计量、检验、医疗或外科用仪器及设备、精密仪器及设备；上述物品的零件、附件,99.3,107.0,106.3
91,第91章钟表及其零件,88.4,108.3,95.7
92,第92章乐器及其零件、附件,96.9,111.4,108.0
19类,第十九类 武器、弹药及其零件、附件,126.8,89.1,113.0
93,第93章武器、弹药及其零件、附件,126.8,89.1,113.0
20类,第二十类 杂项制品,86.1,115.7,99.6
94,第94章家具；寝具、褥垫、弹簧床垫、软坐垫及类似的填充制品；未列名灯具及照明装置；发光标志、发光铭牌及类似品；活动房屋,83.9,122.3,102.6
95,第95章玩具、游戏品、运动用品及其零件、附件,86.6,108.9,94.3
96,第96章杂项制品,94.1,115.7,108.8
21类,第二十一类 艺术品、收藏品及古物,114.5,98.5,112.8
97,第97章艺术品、收藏品及古物,114.5,98.5,112.8
98,第98章特殊交易品及未分类商品,122.8,111.1,136.5
