表十三 2023年9月份全国进口商品贸易同比指数（HS2分类）,表十三 2023年9月份全国进口商品贸易同比指数（HS2分类）,表十三 2023年9月份全国进口商品贸易同比指数（HS2分类）,表十三 2023年9月份全国进口商品贸易同比指数（HS2分类）,表十三 2023年9月份全国进口商品贸易同比指数（HS2分类）
54,第54章化学纤维长丝；化学纤维纺织材料制扁条及类似品,101.3,112.3,113.7
55,第55章化学纤维短纤,100.3,98.3,98.6
56,第56章絮胎、毡呢及无纺织物；特种纱线；线、绳、索、缆及其制品,102.6,92.4,94.9
57,第57章地毯及纺织材料的其他铺地制品,84.7,123.0,104.2
58,第58章特种机织物；簇绒织物；花边；装饰毯；装饰带；刺绣品,106.9,78.3,83.7
59,第59章浸渍、涂布、包覆或层压的纺织物；工业用纺织制品,104.0,89.7,93.4
60,第60章针织物及钩编织物,107.2,77.4,82.9
61,第61章针织或钩编的服装及衣着附件,94.4,93.9,88.6
62,第62章非针织或非钩编的服装及衣着附件,98.7,91.8,90.5
63,第63章其他纺织制成品；成套物品；旧衣着及旧纺织品；碎织物,102.3,81.7,83.6
12类,第十二类 鞋帽伞等；羽毛品；人造花；人发品,102.6,103.8,106.6
64,第64章鞋靴、护腿和类似品及其零件,107.5,94.5,101.6
65,第65章帽类及其零件,77.9,146.6,114.2
66,第66章雨伞、阳伞、手杖、鞭子、马鞭及其零件,94.6,83.1,78.6
67,第67章已加工羽毛、羽绒及其制品；人造花；人发制品,83.4,165.0,137.7
13类,第十三类 矿物材料制品；陶瓷品；玻璃及制品,112.1,84.7,94.9
68,第68章石料、石膏、水泥、石棉、云母及类似材料的制品,111.5,84.4,94.1
69,第69章陶瓷产品,123.3,84.8,104.5
70,第70章玻璃及其制品,109.6,85.0,93.2
14类,第十四类 珠宝、贵金属及制品；仿首饰；硬币,117.6,79.8,93.9
71,第71章天然或养殖珍珠、宝石或半宝石、贵金属、包贵金属及其制品；仿首饰；硬币,117.6,79.8,93.9
15类,第十五类 贱金属及其制品,101.2,99.8,100.9
72,第72章钢铁,90.5,100.7,91.1
73,第73章钢铁制品,113.7,95.6,108.7
74,第74章铜及其制品,112.5,95.2,107.1
75,第75章镍及其制品,90.0,94.8,85.3
76,第76章铝及其制品,99.9,125.2,125.1
78,第78章铅及其制品,103.9,99.6,103.5
79,第79章锌及其制品,83.2,518.7,431.8
80,第80章锡及其制品,117.1,100.4,117.5
81,第81章其他贱金属、金属陶瓷及其制品,63.2,102.1,64.5
82,第82章贱金属工具、器具、利口器、餐匙、餐叉及其零件,103.8,85.5,88.8
83,第83章贱金属杂项制品,109.3,83.5,91.3
16类,第十六类 机电、音像设备及其零件、附件,100.5,95.7,96.1
84,第84章核反应堆、锅炉、机器、机械器具及零件,104.5,110.7,115.7
85,第85章电机、电气设备及其零件；录音机及放声机、电视图像、声音的录制和重放设备及其零件、附件,99.5,90.9,90.4
17类,第十七类 车辆、航空器、船舶及运输设备,108.5,92.4,100.2
86,第86章铁道及电车道机车、车辆及其零件；铁道及电车道轨道固定装置及其零件；附件；各种机械（包括电动机械）交通信号设备,128.0,78.8,100.9
87,第87章车辆及其零件、附件，但铁道及电车道车辆除外,108.0,92.0,99.4
88,第88章航空器、航天器及其零件,119.8,81.9,98.2
89,第89章船舶及浮动结构体,86.4,750.7,648.9
18类,第十八类 光学、医疗等仪器；钟表；乐器,101.2,97.2,98.4
90,第90章光学、照相、电影、计量、检验、医疗或外科用仪器及设备、精密仪器及设备；上述物品的零件、附件,100.1,98.1,98.3
91,第91章钟表及其零件,113.3,88.7,100.6
92,第92章乐器及其零件、附件,127.0,73.5,93.4
19类,第十九类 武器、弹药及其零件、附件,99.3,645.8,641.2
93,第93章武器、弹药及其零件、附件,99.3,645.8,641.2
20类,第二十类 杂项制品,102.4,92.3,94.6
94,第94章家具；寝具、褥垫、弹簧床垫、软坐垫及类似的填充制品；未列名灯具及照明装置；发光标志、发光铭牌及类似品；活动房屋,109.5,89.7,98.3
95,第95章玩具、游戏品、运动用品及其零件、附件,92.7,94.7,87.8
96,第96章杂项制品,107.6,93.9,101.1
21类,第二十一类 艺术品、收藏品及古物,68.1,428.9,292.2
97,第97章艺术品、收藏品及古物,68.1,428.9,292.2
98,第98章特殊交易品及未分类商品,113.0,120.9,136.6
