表一 2024年9月份全国出口商品贸易同比指数（HS2分类）,表一 2024年9月份全国出口商品贸易同比指数（HS2分类）,表一 2024年9月份全国出口商品贸易同比指数（HS2分类）,表一 2024年9月份全国出口商品贸易同比指数（HS2分类）,表一 2024年9月份全国出口商品贸易同比指数（HS2分类）
65,第65章帽类及其零件,87.0,112.0,97.4
66,第66章雨伞、阳伞、手杖、鞭子、马鞭及其零件,94.3,99.5,93.9
67,第67章已加工羽毛、羽绒及其制品；人造花；人发制品,88.7,102.6,91.0
13类,第十三类 矿物材料制品；陶瓷品；玻璃及制品,83.7,100.2,83.9
68,第68章石料、石膏、水泥、石棉、云母及类似材料的制品,88.9,100.1,88.9
69,第69章陶瓷产品,76.6,95.6,73.2
70,第70章玻璃及其制品,88.2,104.8,92.5
14类,第十四类 珠宝、贵金属及制品；仿首饰；硬币,115.0,157.9,181.6
71,第71章天然或养殖珍珠、宝石或半宝石、贵金属、包贵金属及其制品；仿首饰；硬币,115.0,157.9,181.6
15类,第十五类 贱金属及其制品,91.1,116.6,106.3
72,第72章钢铁,90.4,133.7,120.8
73,第73章钢铁制品,88.8,112.1,99.5
74,第74章铜及其制品,105.5,102.9,108.6
75,第75章镍及其制品,81.5,206.2,168.0
76,第76章铝及其制品,98.1,113.8,111.7
78,第78章铅及其制品,110.4,9.1,10.0
79,第79章锌及其制品,113.0,107.5,121.4
80,第80章锡及其制品,123.4,132.7,163.8
81,第81章其他贱金属、金属陶瓷及其制品,97.8,104.2,101.9
82,第82章贱金属工具、器具、利口器、餐匙、餐叉及其零件,90.6,108.6,98.3
83,第83章贱金属杂项制品,86.5,109.1,94.3
16类,第十六类 机电、音像设备及其零件、附件,96.4,104.0,100.3
84,第84章核反应堆、锅炉、机器、机械器具及零件,101.7,103.4,105.1
85,第85章电机、电气设备及其零件；录音机及放声机、电视图像、声音的录制和重放设备及其零件、附件,93.7,104.3,97.8
17类,第十七类 车辆、航空器、船舶及运输设备,96.4,132.5,127.8
86,第86章铁道及电车道机车、车辆及其零件；铁道及电车道轨道固定装置及其零件；附件；各种机械（包括电动机械）交通信号设备,89.3,231.2,206.5
87,第87章车辆及其零件、附件，但铁道及电车道车辆除外,94.6,119.8,113.3
88,第88章航空器、航天器及其零件,77.3,131.2,101.4
89,第89章船舶及浮动结构体,116.7,178.9,208.7
18类,第十八类 光学、医疗等仪器；钟表；乐器,97.3,101.1,98.4
90,第90章光学、照相、电影、计量、检验、医疗或外科用仪器及设备、精密仪器及设备；上述物品的零件、附件,97.4,100.7,98.1
91,第91章钟表及其零件,96.0,109.6,105.2
92,第92章乐器及其零件、附件,95.1,97.3,92.5
19类,第十九类 武器、弹药及其零件、附件,98.5,100.7,99.2
93,第93章武器、弹药及其零件、附件,98.5,100.7,99.2
20类,第二十类 杂项制品,89.8,103.1,92.6
94,第94章家具；寝具、褥垫、弹簧床垫、软坐垫及类似的填充制品；未列名灯具及照明装置；发光标志、发光铭牌及类似品；活动房屋,84.6,106.8,90.3
95,第95章玩具、游戏品、运动用品及其零件、附件,95.1,98.9,94.0
96,第96章杂项制品,93.3,103.6,96.6
21类,第二十一类 艺术品、收藏品及古物,84.4,434.4,366.8
97,第97章艺术品、收藏品及古物,84.4,434.4,366.8
22类,第二十二类 特殊交易品及未分类商品,143.2,93.2,133.5
98,第98章特殊交易品及未分类商品,145.2,94.0,136.5
99,第99章跨境电商B2B简化申报商品,78.7,74.2,58.4
