表十三 2023年12月份全国进口商品贸易同比指数（HS2分类）,表十三 2023年12月份全国进口商品贸易同比指数（HS2分类）,表十三 2023年12月份全国进口商品贸易同比指数（HS2分类）,表十三 2023年12月份全国进口商品贸易同比指数（HS2分类）,表十三 2023年12月份全国进口商品贸易同比指数（HS2分类）
19,第19章谷物、粮食粉、淀粉或乳的制品；糕饼点心,115.8,74.4,86.1
20,第20章蔬菜、水果、坚果或植物其他部分的制品,105.7,126.9,134.1
21,第21章杂项食品,128.8,92.0,118.5
22,第22章饮料、酒及醋,114.2,81.6,93.2
23,第23章食品工业的残渣及废料；配制的动物饲料,100.6,103.7,104.3
24,第24章烟草、烟草及烟草代用品的制品；非经燃烧吸用的产品，不论是否含有尼古丁；其他供人体摄入尼古丁的含尼古丁的产品,113.6,34.0,38.6
5类,第五类 矿产品,96.6,111.3,107.6
25,第25章盐；硫磺；泥土及石料；石膏料、石灰及水泥,91.0,89.0,80.9
26,第26章矿砂、矿渣及矿灰,113.4,113.7,129.0
27,第27章矿物燃料、矿物油及其蒸馏产品；沥青物质；矿物蜡,90.7,111.3,101.0
6类,第六类 化学工业及其相关工业的产品,95.8,97.8,93.7
28,第28章无机化学品；贵金属、稀土金属、放射性元素及其同位素的有机及无机化合物,80.0,99.3,79.4
29,第29章有机化学品,99.7,95.8,95.5
30,第30章药品,92.4,105.6,97.6
31,第31章肥料,55.3,212.5,117.5
32,第32章鞣料浸膏及染料浸膏；鞣酸及其衍生物；染料、颜料及其他着色料；油漆及清漆；油灰及其他类似胶粘剂；墨水、油墨,100.0,109.4,109.4
33,第33章精油及香膏；芳香料制品及化妆盥洗品,99.0,80.9,80.1
34,第34章肥皂、有机表面活性剂、洗涤剂、润滑剂、人造蜡、调制蜡、光洁剂、蜡烛及类似品、塑型用膏、“牙科用蜡”及牙科用熟石膏制剂,100.4,96.4,96.8
35,第35章蛋白类物质；改性淀粉；胶；酶,102.3,93.2,95.4
36,第36章炸药；烟火制品；引火合金；易燃材料制品,159.6,38.0,60.7
37,第37章照相及电影用品,106.2,100.1,106.2
38,第38章杂项化学产品,109.6,89.5,98.1
7类,第七类 塑料及其制品；橡胶及其制品,97.5,101.9,99.4
39,第39章塑料及其制品,96.3,103.7,99.9
40,第40章橡胶及其制品,101.7,96.0,97.7
8类,第八类 革、毛皮及制品；箱包；肠线制品,112.2,109.4,122.7
41,第41章生皮（毛皮除外）及皮革,92.1,126.1,116.2
42,第42章皮革制品；鞍具及挽具；旅行用品、手提包及类似容器；动物肠线（蚕胶丝除外）制品,124.9,105.6,131.9
43,第43章毛皮、人造毛皮及其制品,103.7,79.8,82.7
9类,第九类 木及制品；木炭；软木；编结品,91.7,97.1,89.0
44,第44章木及木制品；木炭,91.6,97.3,89.1
45,第45章软木及软木制品,117.5,39.2,46.0
46,第46章稻草、秸秆、针茅或其他编结材料制品；篮筐及柳条编结品,116.4,132.0,153.6
10类,第十类 木浆等；废纸；纸、纸板及其制品,76.2,139.0,105.9
47,第47章木浆及其他纤维状纤维素浆；回收（废碎）纸及纸板,72.2,146.7,105.9
48,第48章纸及纸板；纸浆、纸或纸板制品,90.9,118.6,107.8
49,第49章书籍、报纸、印刷图画及其他印刷品；手稿、打字稿及设计图纸,86.7,115.5,100.2
11类,第十一类 纺织原料及纺织制品,96.5,127.9,123.4
50,第50章蚕丝,102.3,78.6,80.3
51,第51章羊毛、动物细毛或粗毛；马毛纱线及其机织物,89.8,122.0,109.5
52,第52章棉花,83.2,166.4,138.5
53,第53章其他植物纺织纤维；纸纱线及其机织物,147.3,117.9,173.7
54,第54章化学纤维长丝；化学纤维纺织材料制扁条及类似品,95.8,122.2,117.1
55,第55章化学纤维短纤,96.2,116.0,111.6
56,第56章絮胎、毡呢及无纺织物；特种纱线；线、绳、索、缆及其制品,98.6,94.1,92.8
57,第57章地毯及纺织材料的其他铺地制品,87.5,173.5,151.8
58,第58章特种机织物；簇绒织物；花边；装饰毯；装饰带；刺绣品,102.9,95.5,98.3
59,第59章浸渍、涂布、包覆或层压的纺织物；工业用纺织制品,103.8,90.5,93.9
60,第60章针织物及钩编织物,103.4,90.7,93.7
61,第61章针织或钩编的服装及衣着附件,104.9,115.1,120.7
62,第62章非针织或非钩编的服装及衣着附件,109.2,115.7,126.4
63,第63章其他纺织制成品；成套物品；旧衣着及旧纺织品；碎织物,85.9,99.6,85.5
12类,第十二类 鞋帽伞等；羽毛品；人造花；人发品,111.0,98.4,109.3
64,第64章鞋靴、护腿和类似品及其零件,114.3,91.8,105.0
65,第65章帽类及其零件,89.3,93.7,83.7
66,第66章雨伞、阳伞、手杖、鞭子、马鞭及其零件,97.7,102.0,99.6
67,第67章已加工羽毛、羽绒及其制品；人造花；人发制品,100.5,135.7,136.3
13类,第十三类 矿物材料制品；陶瓷品；玻璃及制品,121.1,87.3,105.7
68,第68章石料、石膏、水泥、石棉、云母及类似材料的制品,115.4,83.5,96.4
69,第69章陶瓷产品,98.3,113.7,111.7
70,第70章玻璃及其制品,128.2,83.8,107.4
14类,第十四类 珠宝、贵金属及制品；仿首饰；硬币,112.1,59.5,66.7
71,第71章天然或养殖珍珠、宝石或半宝石、贵金属、包贵金属及其制品；仿首饰；硬币,112.1,59.5,66.7
15类,第十五类 贱金属及其制品,93.0,109.0,101.4
72,第72章钢铁,81.0,123.3,99.9
73,第73章钢铁制品,109.8,94.2,103.5
74,第74章铜及其制品,104.0,99.3,103.2
75,第75章镍及其制品,70.4,110.2,77.6
76,第76章铝及其制品,102.6,115.9,118.9
78,第78章铅及其制品,103.6,119.9,124.2
79,第79章锌及其制品,87.5,202.5,177.1
80,第80章锡及其制品,125.0,143.4,179.3
81,第81章其他贱金属、金属陶瓷及其制品,65.8,140.9,92.7
82,第82章贱金属工具、器具、利口器、餐匙、餐叉及其零件,98.5,93.7,92.3
83,第83章贱金属杂项制品,104.3,105.9,110.5
16类,第十六类 机电、音像设备及其零件、附件,101.4,104.7,106.2
84,第84章核反应堆、锅炉、机器、机械器具及零件,109.8,116.6,128.0
85,第85章电机、电气设备及其零件；录音机及放声机、电视图像、声音的录制和重放设备及其零件、附件,99.3,100.8,100.0
17类,第十七类 车辆、航空器、船舶及运输设备,94.6,101.2,95.8
86,第86章铁道及电车道机车、车辆及其零件；铁道及电车道轨道固定装置及其零件；附件；各种机械（包括电动机械）交通信号设备,97.0,81.5,79.1
87,第87章车辆及其零件、附件，但铁道及电车道车辆除外,99.7,118.6,118.3
88,第88章航空器、航天器及其零件,77.6,53.2,41.3
89,第89章船舶及浮动结构体,99.3,85.1,84.5
18类,第十八类 光学、医疗等仪器；钟表；乐器,101.7,104.8,106.6
90,第90章光学、照相、电影、计量、检验、医疗或外科用仪器及设备、精密仪器及设备；上述物品的零件、附件,101.4,104.3,105.8
91,第91章钟表及其零件,106.2,119.4,126.8
92,第92章乐器及其零件、附件,101.5,84.8,86.0
19类,第十九类 武器、弹药及其零件、附件,87.2,185.0,161.3
93,第93章武器、弹药及其零件、附件,87.2,185.0,161.3
20类,第二十类 杂项制品,100.1,88.1,88.2
94,第94章家具；寝具、褥垫、弹簧床垫、软坐垫及类似的填充制品；未列名灯具及照明装置；发光标志、发光铭牌及类似品；活动房屋,106.0,91.1,96.6
95,第95章玩具、游戏品、运动用品及其零件、附件,92.0,86.3,79.4
96,第96章杂项制品,101.5,86.8,88.1
21类,第二十一类 艺术品、收藏品及古物,145.7,6.7,9.8
97,第97章艺术品、收藏品及古物,145.7,6.7,9.8
98,第98章特殊交易品及未分类商品,116.2,90.2,104.8
