表十三 2023年8月份全国进口商品贸易同比指数（HS2分类）,表十三 2023年8月份全国进口商品贸易同比指数（HS2分类）,表十三 2023年8月份全国进口商品贸易同比指数（HS2分类）,表十三 2023年8月份全国进口商品贸易同比指数（HS2分类）,表十三 2023年8月份全国进口商品贸易同比指数（HS2分类）
"Table 13 Index Number of Imports by HS2,Aug. 2023","Table 13 Index Number of Imports by HS2,Aug. 2023","Table 13 Index Number of Imports by HS2,Aug. 2023","Table 13 Index Number of Imports by HS2,Aug. 2023","Table 13 Index Number of Imports by HS2,Aug. 2023"
same month of last year = 100,same month of last year = 100,same month of last year = 100,same month of last year = 100,same month of last year = 100
HS编码 code,商品名称 Description,价格指数 Unit value,数量指数 Quantum,价值指数 Value
17类,第十七类 车辆、航空器、船舶及运输设备,102.8,95.3,97.9
86,第86章铁道及电车道机车、车辆及其零件；铁道及电车道轨道固定装置及其零件；附件；各种机械（包括电动机械）交通信号设备,125.1,88.8,111.1
87,第87章车辆及其零件、附件，但铁道及电车道车辆除外,103.9,94.4,98.1
88,第88章航空器、航天器及其零件,92.2,106.6,98.4
89,第89章船舶及浮动结构体,92.9,55.7,51.7
18类,第十八类 光学、医疗等仪器；钟表；乐器,102.8,93.6,96.3
90,第90章光学、照相、电影、计量、检验、医疗或外科用仪器及设备、精密仪器及设备；上述物品的零件、附件,101.9,94.3,96.2
91,第91章钟表及其零件,115.3,85.0,98.0
92,第92章乐器及其零件、附件,122.1,78.9,96.4
19类,第十九类 武器、弹药及其零件、附件,140.9,440.9,621.2
93,第93章武器、弹药及其零件、附件,140.9,440.9,621.2
20类,第二十类 杂项制品,103.7,87.5,90.8
94,第94章家具；寝具、褥垫、弹簧床垫、软坐垫及类似的填充制品；未列名灯具及照明装置；发光标志、发光铭牌及类似品；活动房屋,104.9,84.1,88.2
95,第95章玩具、游戏品、运动用品及其零件、附件,96.8,96.4,93.3
96,第96章杂项制品,115.9,78.5,91.0
21类,第二十一类 艺术品、收藏品及古物,82.9,448.0,371.3
97,第97章艺术品、收藏品及古物,82.9,448.0,371.3
98,第98章特殊交易品及未分类商品,78.8,102.8,81.0
