表十三 2023年10月份全国进口商品贸易同比指数（HS2分类）,表十三 2023年10月份全国进口商品贸易同比指数（HS2分类）,表十三 2023年10月份全国进口商品贸易同比指数（HS2分类）,表十三 2023年10月份全国进口商品贸易同比指数（HS2分类）,表十三 2023年10月份全国进口商品贸易同比指数（HS2分类）
51,第51章羊毛、动物细毛或粗毛；马毛纱线及其机织物,87.1,107.1,93.3
52,第52章棉花,79.1,233.1,184.3
53,第53章其他植物纺织纤维；纸纱线及其机织物,122.2,113.8,139.1
54,第54章化学纤维长丝；化学纤维纺织材料制扁条及类似品,104.9,108.7,114.0
55,第55章化学纤维短纤,90.8,127.3,115.6
56,第56章絮胎、毡呢及无纺织物；特种纱线；线、绳、索、缆及其制品,91.5,95.2,87.1
57,第57章地毯及纺织材料的其他铺地制品,86.2,124.0,106.8
58,第58章特种机织物；簇绒织物；花边；装饰毯；装饰带；刺绣品,95.4,100.9,96.2
59,第59章浸渍、涂布、包覆或层压的纺织物；工业用纺织制品,109.7,94.2,103.3
60,第60章针织物及钩编织物,103.8,81.0,84.1
61,第61章针织或钩编的服装及衣着附件,97.8,104.6,102.3
62,第62章非针织或非钩编的服装及衣着附件,114.7,92.6,106.1
63,第63章其他纺织制成品；成套物品；旧衣着及旧纺织品；碎织物,94.7,109.4,103.5
12类,第十二类 鞋帽伞等；羽毛品；人造花；人发品,104.6,103.6,108.4
64,第64章鞋靴、护腿和类似品及其零件,111.7,95.7,107.0
65,第65章帽类及其零件,94.8,98.4,93.2
66,第66章雨伞、阳伞、手杖、鞭子、马鞭及其零件,66.9,194.0,129.7
67,第67章已加工羽毛、羽绒及其制品；人造花；人发制品,79.5,147.9,117.6
13类,第十三类 矿物材料制品；陶瓷品；玻璃及制品,118.3,77.9,92.2
68,第68章石料、石膏、水泥、石棉、云母及类似材料的制品,105.2,72.5,76.2
69,第69章陶瓷产品,107.1,90.0,96.4
70,第70章玻璃及其制品,123.5,78.5,96.9
14类,第十四类 珠宝、贵金属及制品；仿首饰；硬币,114.5,71.2,81.5
71,第71章天然或养殖珍珠、宝石或半宝石、贵金属、包贵金属及其制品；仿首饰；硬币,114.5,71.2,81.5
15类,第十五类 贱金属及其制品,97.5,120.8,117.7
72,第72章钢铁,89.0,117.7,104.8
73,第73章钢铁制品,105.3,98.5,103.7
74,第74章铜及其制品,108.2,125.4,135.6
75,第75章镍及其制品,82.0,116.6,95.6
76,第76章铝及其制品,103.2,136.0,140.4
78,第78章铅及其制品,107.4,91.3,98.1
79,第79章锌及其制品,83.9,673.0,565.0
80,第80章锡及其制品,121.7,96.8,117.8
81,第81章其他贱金属、金属陶瓷及其制品,62.1,117.9,73.2
82,第82章贱金属工具、器具、利口器、餐匙、餐叉及其零件,101.0,90.6,91.5
83,第83章贱金属杂项制品,109.5,91.1,99.8
16类,第十六类 机电、音像设备及其零件、附件,98.3,106.0,104.3
84,第84章核反应堆、锅炉、机器、机械器具及零件,105.6,125.2,132.3
85,第85章电机、电气设备及其零件；录音机及放声机、电视图像、声音的录制和重放设备及其零件、附件,96.7,100.0,96.7
17类,第十七类 车辆、航空器、船舶及运输设备,101.5,108.3,110.0
86,第86章铁道及电车道机车、车辆及其零件；铁道及电车道轨道固定装置及其零件；附件；各种机械（包括电动机械）交通信号设备,108.7,80.5,87.5
87,第87章车辆及其零件、附件，但铁道及电车道车辆除外,101.1,110.9,112.2
88,第88章航空器、航天器及其零件,105.1,91.8,96.4
89,第89章船舶及浮动结构体,96.6,46.7,45.1
18类,第十八类 光学、医疗等仪器；钟表；乐器,95.8,110.6,106.0
90,第90章光学、照相、电影、计量、检验、医疗或外科用仪器及设备、精密仪器及设备；上述物品的零件、附件,95.8,111.6,106.9
91,第91章钟表及其零件,94.7,98.3,93.0
92,第92章乐器及其零件、附件,103.2,74.6,77.0
19类,第十九类 武器、弹药及其零件、附件,102.0,488.0,498.0
93,第93章武器、弹药及其零件、附件,102.0,488.0,498.0
20类,第二十类 杂项制品,96.3,90.6,87.2
94,第94章家具；寝具、褥垫、弹簧床垫、软坐垫及类似的填充制品；未列名灯具及照明装置；发光标志、发光铭牌及类似品；活动房屋,103.3,86.3,89.2
95,第95章玩具、游戏品、运动用品及其零件、附件,88.8,96.0,85.3
96,第96章杂项制品,99.9,87.9,87.8
21类,第二十一类 艺术品、收藏品及古物,102.7,187.3,192.4
97,第97章艺术品、收藏品及古物,102.7,187.3,192.4
98,第98章特殊交易品及未分类商品,155.1,117.0,181.4
